key,char,skillType,name,command,fire,persistence,rigidity,totalFrame,hit,guard,cancel,damage,correction,dHit,dGuard,dPunish,saGauge,attackType,imageFile,movieFile,comment
ryu,リュウ,通常技,立ち弱P（ジャブ）,PL,4,6,7,16,4,-1,C,300,始動補正20%,25,-50,-200,300,上,,,連打キャンセル対応
ryu,リュウ,通常技,立ち弱K（ローキック）,KL,5,7,11,22,2,-4,C,300,始動補正20%,25,-50,-200,300,上,,,""
ryu,リュウ,通常技,立ち中P（鉤突き）,PM,6,9,11,25,7,-1,C,600,"",150,-300,-400,500,上,,,""
ryu,リュウ,通常技,立ち中K（横蹴り）,KM,9,11,18,37,4,-4,"",700,"",200,-400,-600,700,上,,,""
ryu,リュウ,通常技,立ち強P（正拳突き）,PH,10,14,18,41,4,-2,C,800,"",200,-500,-800,1000,上,,,強制立ち効果
ryu,リュウ,通常技,立ち強K（後ろ回し蹴り）,KH,12,15,20,46,9,1,"",900,"",300,-600,-1000,1000,上,,,空中ヒット時吹き飛びダウン@@EOL@@パニッシュカウンター時に膝崩れダウンに　＋36@@EOL@@空中ヒットでパニッシュカウンター時吹き飛び時間延長
ryu,リュウ,通常技,しゃがみ弱P（ジャブ）,2 + PL,4,5,9,17,4,-1,C,300,始動補正20%,25,-50,-200,300,上,,,連打キャンセル対応
ryu,リュウ,通常技,しゃがみ弱K（キック）,2 + KL,5,6,10,20,3,-3,"",200,始動補正20%,25,-50,-200,300,下,,,連打キャンセル対応
ryu,リュウ,通常技,しゃがみ中P（ストレート）,2 + PM,6,9,13,27,5,0,C,600,"",150,-300,-400,500,上,,,""
ryu,リュウ,通常技,しゃがみ中K（くるぶしキック）,2 + KM,8,10,19,36,1,-6,C,500,始動補正20%,100,-200,-400,500,下,,,""
ryu,リュウ,通常技,しゃがみ強P（突き上げアッパー）,2 + PH,9,14,22,44,1,-7,C,800,"",300,-750,-1000,1200,上,,,キャンセルは持続の1F目がヒットした時のみ@@EOL@@強制立ち効果
